Time (hh:mm:ss),FlightID,Latitude (deg),Longitude (deg),Altitude (feet),Aircraft type,CAS (knot),TAS (knot),GS (knot),MACH
12:00:00,FLT1000,34.5791,143.5186,37994.31,B782,274.4376,403.7279,830.5225,0.8579
12:00:01,FLT1000,34.5794,143.5165,37994.41,B782,274.4455,403.6763,830.3707,0.8578
12:00:02,FLT1000,34.5798,143.5143,37994.42,B782,274.4335,403.6247,830.6072,0.858
12:00:03,FLT1000,34.5801,143.5122,37994.42,B782,274.315,403.5738,830.6076,0.858
12:00:04,FLT1000,34.5805,143.5101,37994.46,B782,274.3958,403.5223,830.2389,0.8576
12:00:05,FLT1000,34.5808,143.5079,37994.5,B782,274.3866,403.4732,830.4474,0.8578
12:00:06,FLT1000,34.5811,143.5058,37994.53,B782,274.3226,403.423,830.4263,0.8578
12:00:07,FLT1000,34.5815,143.5037,37994.62,B782,274.3325,403.3754,830.1485,0.8575
12:00:08,FLT1000,34.5818,143.5016,37994.68,B782,274.3481,403.324,830.3898,0.8578
12:00:09,FLT1000,34.5821,143.4994,37994.81,B782,274.2899,403.277,830.2057,0.8576
12:00:10,FLT1000,34.5824,143.4973,37994.86,B782,274.323,403.2265,830.3088,0.8577
12:00:11,FLT1000,34.5828,143.4952,37994.96,B782,274.2338,403.1779,830.2664,0.8576
12:00:12,FLT1000,34.5831,143.4931,37995.16,B782,274.2439,403.1311,830.1876,0.8576
12:00:13,FLT1000,34.5834,143.4909,37995.22,B782,274.2922,403.083,830.2714,0.8577
12:00:14,FLT1000,34.5837,143.4888,37995.28,B782,274.2646,403.0366,830.0993,0.8575
12:00:15,FLT1000,34.584,143.4867,37995.4,B782,274.3938,402.9883,830.1637,0.8575
12:00:16,FLT1000,34.5843,143.4845,37995.53,B782,274.4119,402.9399,830.4459,0.8578
12:00:17,FLT1000,34.5846,143.4824,37995.53,B782,274.3065,402.894,830.3742,0.8578
12:00:18,FLT1000,34.5849,143.4802,37995.69,B782,274.3701,402.8495,829.8582,0.8572
12:00:19,FLT1000,34.5852,143.4781,37995.87,B782,274.2926,402.8019,830.2805,0.8577
12:00:20,FLT1000,34.5855,143.476,37995.93,B782,274.2808,402.7546,829.9234,0.8573
12:00:21,FLT1000,34.5858,143.4739,37996.07,B782,274.2948,402.7076,830.4268,0.8578
12:00:22,FLT1000,34.5861,143.4717,37996.21,B782,274.2865,402.6617,830.1586,0.8575
12:00:23,FLT1000,34.5864,143.4696,37996.24,B782,274.2596,402.6176,830.0777,0.8574
12:00:24,FLT1000,34.5867,143.4675,37996.33,B782,274.2094,402.5739,829.7632,0.8571
12:00:25,FLT1000,34.5869,143.4653,37996.38,B782,274.3216,402.5387,830.0197,0.8574
12:00:26,FLT1000,34.5872,143.4632,37996.51,B782,274.2403,402.5149,830.0138,0.8574
12:00:27,FLT1000,34.5875,143.461,37996.64,B782,274.1287,402.5037,829.9949,0.8574
12:00:28,FLT1000,34.5878,143.4589,37996.77,B782,274.2007,402.4971,830.1495,0.8575
