 id  , name                     , name_eng                             , IATA , ICAO , lat       , lon        
   1 , 旭川空港                 , Asahikawa Airport                    , AKJ  , RJEC , 43.670833 ,   142.4475 
   2 , 新千歳空港               , New Chitose Airport                  , CTS  , RJCC ,    42.775 , 141.692222 
   3 , 函館空港                 , Hakodate Airport                     , HKD  , RJCH ,     41.77 , 140.821944 
   4 , 釧路空港                 , Kushiro Airport                      , KUH  , RJCK , 43.040833 , 144.192778 
   5 , 紋別空港                 , Monbetsu Airport                     , MBE  , MBE  , 44.304167 , 143.408056 
   6 , 女満別空港               , Memanbetsu Airport                   , MMB  , RJCM , 43.880556 , 144.164167 
   7 , 中標津空港               , Nakashibetsu Airport                 , SHB  , RJCN ,   43.5775 ,     144.96 
   8 , 帯広空港                 , Obihiro Airport                      , OBO  , RJCB , 42.733333 , 143.217222 
   9 , 奥尻空港                 , Okushiri Airport                     , OIR  , OIR  , 42.073056 , 139.429167 
  10 , 札幌飛行場               , Okadama Airport                      , OKD  , RJCO ,   43.1175 , 141.381389 
  11 , 礼文空港                 , Rebun Airport                        , RBJ  , RBJ  ,    45.455 , 141.039167 
  12 , 利尻空港                 , Rishiri Airport                      , RIS  , RIS  , 45.239722 , 141.191389 
  13 , 稚内空港                 , Wakkanai Airport                     , WKJ  , RJCW , 45.401944 , 141.804722 
  14 , 青森空港                 , Aomori Airport                       , AOJ  , RJSA , 40.734722 , 140.690833 
  15 , 三沢飛行場               , Misawa Airport                       , MSJ  , RJSM , 40.705278 , 141.371944 
  16 , 八戸航空基地             , Hachinohe Air Base                   ,      ,      , 40.552222 , 141.468333 
  17 , 秋田空港                 , Akita Airport                        , AXT  , RJSK , 39.615556 , 140.218611 
  18 , 花巻空港                 , Hanamaki Airport                     , HNA  , RJSI , 39.428611 , 141.135278 
  19 , 山形空港                 , Yamagata Airport                     , GAJ  , RJSC , 38.411667 , 140.371111 
  20 , 庄内空港                 , Shonai Airport                       , SYO  , RJSY , 38.812222 , 139.787222 
  21 , 仙台空港                 , Sendai Airport                       , SDJ  , RJSS , 38.136944 ,   140.9225 
